S.No,"Je suis un (e)","le revenue de votre famille","Vous disposez (plusieurs réponses possible)","vous êtes ","Etes vous motorisé?","combien de voitures disposez vous dans votre famille",Created at,Updated at,User id
637294916b7658002abc43f0,"Femme ","entre 400 et 650 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","plus que 2 ",Mon Nov 14 2022 20:18:41 GMT+0100 (Central European Standard Time),Mon Nov 14 2022 20:19:51 GMT+0100 (Central European Standard Time),63724eafcc04ac002a3e4765
637c85f30fea6c001f448b2b,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","1 ",Tue Nov 22 2022 09:18:59 GMT+0100 (Central European Standard Time),Tue Nov 22 2022 09:19:14 GMT+0100 (Central European Standard Time),63401176a2a5620029f0d95a
634ce6b8427992002a56c043,"Homme ","entre 1000 et 1800 dtn par mois ","une machine a laver semi automatique ","propiétaire ","true ","aucune ",Mon Oct 17 2022 06:23:04 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 06:23:55 GMT+0100 (Central European Standard Time),629278c4da298a002a0b77cb
634eac6b195edb002ad878ab,"Femme ","entre 650 et 1200 dtn par mois ","un climatiseur ","propiétaire ","false ","aucune ",Tue Oct 18 2022 14:38:51 GMT+0100 (Central European Standard Time),Wed Nov 09 2022 22:23:09 GMT+0100 (Central European Standard Time),62204079cccc1c001f62f303
63625c279ccf6f002b32dd04,"Homme ","entre 1800 et 3000 dtn par mois ","une machine a laver automatique ","locataire ","true ","2 ",Wed Nov 02 2022 13:01:43 GMT+0100 (Central European Standard Time),Wed Nov 02 2022 13:02:18 GMT+0100 (Central European Standard Time),6208b623ca15d4001ff27437
63662c143e3f42002bc5414b,"Femme ","plus der 5000 dtn par mois ","un chauffage central ","locataire ","false ","aucune ",Sat Nov 05 2022 10:25:40 GMT+0100 (Central European Standard Time),Sat Nov 05 2022 10:26:18 GMT+0100 (Central European Standard Time),63655db4966fa6002a9a2422
635ff326383242002b7fc89d,"Homme ","entre 650 et 1200 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","plus que 2 ",Mon Oct 31 2022 17:09:10 GMT+0100 (Central European Standard Time),Mon Oct 31 2022 17:11:48 GMT+0100 (Central European Standard Time),6328472bfbbe6f002a31eedf
634d4237d34855002afeb8e2,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Mon Oct 17 2022 12:53:27 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 12:53:40 GMT+0100 (Central European Standard Time),6344134d1c2eae001f110e63
639967cdd96a27002a4e962e,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Wed Dec 14 2022 07:06:05 GMT+0100 (Central European Standard Time),Wed Dec 14 2022 07:06:33 GMT+0100 (Central European Standard Time),62c1ffc742998d002abfabce
634d0ef9427992002a58be22,"Homme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","1 ",Mon Oct 17 2022 09:14:49 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 09:15:37 GMT+0100 (Central European Standard Time),62972e76a9f68a002a566de3
63aab082a7c600002a8e6297,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","plus que 2 ",Tue Dec 27 2022 09:44:50 GMT+0100 (Central European Standard Time),Tue Dec 27 2022 09:45:21 GMT+0100 (Central European Standard Time),63aaaf71fdaea7002abd8136
635e6b99715f58002a6413b3,"Homme ","inferieur à 400 dtn par mois ","aucun ","propiétaire ","false ","1 ",Sun Oct 30 2022 13:18:33 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 13:19:31 GMT+0100 (Central European Standard Time),620fc5e8f513d8001f835fc5
63625e269ccf6f002b32f30e,"Homme ","plus der 5000 dtn par mois ","un climatiseur ","propiétaire ","true ","aucune ",Wed Nov 02 2022 13:10:14 GMT+0100 (Central European Standard Time),Wed Nov 02 2022 13:10:32 GMT+0100 (Central European Standard Time),6291f659fa03ea002ac6d5e5
634d7632fd637f0029a6bf00,"Femme ","inferieur à 400 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","aucune ",Mon Oct 17 2022 16:35:14 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 16:35:50 GMT+0100 (Central European Standard Time),62129cb90cd88c0020dc53f8
6379c85b66d3c80020b7006a,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Sun Nov 20 2022 07:25:31 GMT+0100 (Central European Standard Time),Sun Nov 20 2022 07:25:48 GMT+0100 (Central European Standard Time),6379c54f194d1f001f56929b
63508d9296b5a9002a5ea202,"Femme ","inferieur à 400 dtn par mois ","aucun ","locataire ","false ","aucune ",Thu Oct 20 2022 00:51:46 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 00:53:02 GMT+0100 (Central European Standard Time),6207fb68776c6c002ab763c6
634edb7f740817002a5965d7,"Homme ","inferieur à 400 dtn par mois ","aucun ","locataire ","false ","aucune ",Tue Oct 18 2022 17:59:43 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 18:00:19 GMT+0100 (Central European Standard Time),634907bc472127002bb88dd3
636d749a715f58002ae4d579,"Homme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","aucune ",Thu Nov 10 2022 23:00:58 GMT+0100 (Central European Standard Time),Thu Nov 10 2022 23:01:10 GMT+0100 (Central European Standard Time),636d73cc715f58002ae4cf14
636257f9715f58002a899469,"Homme ","entre 650 et 1200 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","aucune ",Wed Nov 02 2022 12:43:53 GMT+0100 (Central European Standard Time),Wed Nov 02 2022 12:44:52 GMT+0100 (Central European Standard Time),63600b7b715f58002a752d6d
634ef9b76d6572002a2bb145,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Tue Oct 18 2022 20:08:39 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 20:08:53 GMT+0100 (Central European Standard Time),632f1f64c5a3b1002a62c1ba
6356a5a2989a4b002a5217b1,"Homme ","entre 1800 et 3000 dtn par mois ","un chauffage central ","propiétaire ","true ","plus que 2 ",Mon Oct 24 2022 15:48:02 GMT+0100 (Central European Standard Time),Mon Oct 24 2022 15:48:55 GMT+0100 (Central European Standard Time),62b230a941b04f001ecf3983
634d296b585260002a6da309,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","2 ",Mon Oct 17 2022 11:07:39 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 11:08:16 GMT+0100 (Central European Standard Time),6220bde3203e20001fc9b4b1
635eef909ccf6f002b12e794,"Femme ","entre 650 et 1200 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","1 ",Sun Oct 30 2022 22:41:36 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 22:42:22 GMT+0100 (Central European Standard Time),623db7d7af93ec0020cf220d
63637eaf3e3f42002baa8ec3,"Femme ","entre 1800 et 3000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","aucune ",Thu Nov 03 2022 09:41:19 GMT+0100 (Central European Standard Time),Thu Nov 03 2022 09:42:09 GMT+0100 (Central European Standard Time),636258ce3e3f42002ba17aa6
634da8d2740817002a50c194,"Homme ","plus der 5000 dtn par mois ","aucun ","locataire ","false ","1 ",Mon Oct 17 2022 20:11:14 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 20:12:08 GMT+0100 (Central European Standard Time),6237076eeeb5ca0020ee53c5
636cba9b966fa6002ad24119,"Homme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","2 ",Thu Nov 10 2022 09:47:23 GMT+0100 (Central European Standard Time),Thu Nov 10 2022 09:48:13 GMT+0100 (Central European Standard Time),62bc0d4c5c28b4001f4cfc66
637272fb6e4427002b72dc5d,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Mon Nov 14 2022 17:55:23 GMT+0100 (Central European Standard Time),Mon Nov 14 2022 17:55:41 GMT+0100 (Central European Standard Time),620669e2807e1a0020357970
635e9bac9ccf6f002b0f322c,"Homme ","entre 1800 et 3000 dtn par mois ","une machine a laver automatique ","locataire ","true ","2 ",Sun Oct 30 2022 16:43:40 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 16:44:20 GMT+0100 (Central European Standard Time),631e71a608d2410029f01da3
635e48dd966fa6002a5599c5,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","aucune ",Sun Oct 30 2022 10:50:21 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 10:50:33 GMT+0100 (Central European Standard Time),6326f8067d7f830020ceeadd
63762014ba4e54001f7f6bc3,"Homme ","entre 1000 et 1800 dtn par mois ","un chauffage central ","locataire ","false ","1 ",Thu Nov 17 2022 12:50:44 GMT+0100 (Central European Standard Time),Thu Nov 17 2022 12:51:32 GMT+0100 (Central European Standard Time),6208ba9569ce2d0020cff9a0
63503ceafeb171002bf0b5e8,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Wed Oct 19 2022 19:07:38 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 19:08:39 GMT+0100 (Central European Standard Time),62081a0ee1cc4f002abf2376
63519a6696b5a9002a67e19b,"Homme ","entre 650 et 1200 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Thu Oct 20 2022 19:58:46 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 19:59:09 GMT+0100 (Central European Standard Time),63401488bf8902001f285e14
634cd5ddc1caa5002b93f351,"Femme ","entre 1800 et 3000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","true ","aucune ",Mon Oct 17 2022 05:11:09 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 05:11:47 GMT+0100 (Central European Standard Time),6210f33c0cd88c0020db8ae8
636ab4103e3f42002beb1922,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","aucune ",Tue Nov 08 2022 20:54:56 GMT+0100 (Central European Standard Time),Tue Nov 08 2022 20:55:19 GMT+0100 (Central European Standard Time),6239a00ea92c39001fd4464c
63517f5beec4a5002a750aab,"Homme ","inferieur à 400 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Thu Oct 20 2022 18:03:23 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 18:04:08 GMT+0100 (Central European Standard Time),63517c6feec4a5002a74e997
635e2f8f966fa6002a543d1a,"Homme ","inferieur à 400 dtn par mois ","aucun ","locataire ","false ","aucune ",Sun Oct 30 2022 09:02:23 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 09:02:37 GMT+0100 (Central European Standard Time),63258ccdd6facb0020e89c37
63752600798d4d001f693583,"Homme ","entre 1000 et 1800 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Wed Nov 16 2022 19:03:44 GMT+0100 (Central European Standard Time),Wed Nov 16 2022 19:04:46 GMT+0100 (Central European Standard Time),6375235c62f0c8001f6133fb
6379e56ed0cc24001fe47788,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","1 ",Sun Nov 20 2022 09:29:34 GMT+0100 (Central European Standard Time),Sun Nov 20 2022 09:29:54 GMT+0100 (Central European Standard Time),6379e48d8a88b8001fb7f428
635a92bcca05e3002a6a5fe4,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Thu Oct 27 2022 15:16:28 GMT+0100 (Central European Standard Time),Thu Oct 27 2022 15:16:57 GMT+0100 (Central European Standard Time),621fbd17cccc1c001f6299d9
635d960b966fa6002a504467,"Homme ",-,-,-,"false ",-,Sat Oct 29 2022 22:07:23 GMT+0100 (Central European Standard Time),Sat Oct 29 2022 22:07:27 GMT+0100 (Central European Standard Time),635d948e3e3f42002b74742f
63698339cb720d002aae8fa2,"Homme ","entre 650 et 1200 dtn par mois ","un congélateur hors celui du réfrigérateur ","propiétaire ","false ","plus que 2 ",Mon Nov 07 2022 23:14:17 GMT+0100 (Central European Standard Time),Mon Nov 07 2022 23:15:06 GMT+0100 (Central European Standard Time),620abb0cf75cbe001f0d8066
635c5911017627002a0801a9,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","1 ",Fri Oct 28 2022 23:34:57 GMT+0100 (Central European Standard Time),Fri Oct 28 2022 23:35:13 GMT+0100 (Central European Standard Time),62ca1b8db47035002aeea548
6351019dfeb171002bf636fd,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","aucune ",Thu Oct 20 2022 09:06:53 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 09:07:07 GMT+0100 (Central European Standard Time),634d197ac1caa5002b96ad16
6380a86e0cc5f6001f9c6ceb,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Fri Nov 25 2022 12:35:10 GMT+0100 (Central European Standard Time),Fri Nov 25 2022 12:35:45 GMT+0100 (Central European Standard Time),6380a42b29651e001fd88075
634d99a2195edb002ad096dd,"Femme ","entre 1200 et 1800 dtn par mois ","un lave vaisselle ","propiétaire ","true ","1 ",Mon Oct 17 2022 19:06:26 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 19:09:01 GMT+0100 (Central European Standard Time),6243827cf34a21001f3015a7
635bf1ed017627002a035d22,"Femme ","entre 1200 et 1800 dtn par mois ","un sèche linge ","locataire ","false ","aucune ",Fri Oct 28 2022 16:14:53 GMT+0100 (Central European Standard Time),Fri Oct 28 2022 16:15:33 GMT+0100 (Central European Standard Time),634072ae0119ac001f18a53f
63612c0c715f58002a7f62f6,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Tue Nov 01 2022 15:24:12 GMT+0100 (Central European Standard Time),Tue Nov 01 2022 15:24:32 GMT+0100 (Central European Standard Time),635fe911cb720d002a574f3f
634c9e10d34855002af9e74a,"Homme ",-,-,"locataire ","true ","1 ",Mon Oct 17 2022 01:13:04 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 01:13:17 GMT+0100 (Central European Standard Time),62e9695ea0f969002bebcef3
63714799576e51002a4d41ac,"Homme ","entre 400 et 650 dtn par mois ","un climatiseur ","propiétaire ","true ","aucune ",Sun Nov 13 2022 20:38:01 GMT+0100 (Central European Standard Time),Sun Nov 13 2022 20:38:33 GMT+0100 (Central European Standard Time),62bb2c94b7925a001fcf53b7
63827a9e6ece3e001f972dcb,"Femme ","entre 1800 et 3000 dtn par mois ","une machine a laver automatique ","locataire ","false ","1 ",Sat Nov 26 2022 21:44:14 GMT+0100 (Central European Standard Time),Sat Nov 26 2022 21:44:58 GMT+0100 (Central European Standard Time),6227cfada92c39001fcad5e6
63977a25b8997e002a24a183,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","plus que 2 ",Mon Dec 12 2022 19:59:49 GMT+0100 (Central European Standard Time),Wed Dec 14 2022 14:34:51 GMT+0100 (Central European Standard Time),6385ca4229651e001fedcf1f
635e2e71383242002b6c6795,"Homme ","entre 1200 et 1800 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","plus que 2 ",Sun Oct 30 2022 08:57:37 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 08:58:37 GMT+0100 (Central European Standard Time),635d1c4419fa740029ae7610
63767739f9f46d001f91c6ed,"Homme ","entre 650 et 1200 dtn par mois ","un sèche linge ","locataire ","false ","2 ",Thu Nov 17 2022 19:02:33 GMT+0100 (Central European Standard Time),Thu Nov 17 2022 19:03:09 GMT+0100 (Central European Standard Time),63765d297519590020c2ad53
636a5b4c9ccf6f002b79aeda,"Femme ","inferieur à 400 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","1 ",Tue Nov 08 2022 14:36:12 GMT+0100 (Central European Standard Time),Tue Nov 08 2022 14:36:52 GMT+0100 (Central European Standard Time),629b507f39e018002a7c7690
635c343cce1fa4002af08148,"Femme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","2 ",Fri Oct 28 2022 20:57:48 GMT+0100 (Central European Standard Time),Fri Oct 28 2022 20:58:02 GMT+0100 (Central European Standard Time),635c2c927c3fb6002b24850b
63828ae5fe8333001f09e54f,"Homme ","inferieur à 400 dtn par mois ","un lave vaisselle ","locataire ","false ","aucune ",Sat Nov 26 2022 22:53:41 GMT+0100 (Central European Standard Time),Sat Nov 26 2022 22:54:53 GMT+0100 (Central European Standard Time),6380bd1b168860001f3ce641
639835fea7cb0d002ad50d2a,"Femme ","entre 3000 et 5000 dtn par mois ","aucun ","locataire ","false ","aucune ",Tue Dec 13 2022 09:21:18 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 09:42:32 GMT+0100 (Central European Standard Time),639830e2d96a27002a470531
634ce2a5051a14002a6b0195,"Homme ","entre 3000 et 5000 dtn par mois ","aucun ","locataire ","false ","aucune ",Mon Oct 17 2022 06:05:41 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 06:06:41 GMT+0100 (Central European Standard Time),62c0dcd6b7925a001fd67f56
639b090e57b1d9002acd2458,"Homme ","entre 1800 et 3000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","1 ",Thu Dec 15 2022 12:46:22 GMT+0100 (Central European Standard Time),Thu Dec 15 2022 12:47:18 GMT+0100 (Central European Standard Time),621b8f344413240020f72530
63ac30e1ea1683002bc47344,"Homme ","entre 3000 et 5000 dtn par mois ","un lave vaisselle ",-,"true ","aucune ",Wed Dec 28 2022 13:04:49 GMT+0100 (Central European Standard Time),Wed Dec 28 2022 13:05:17 GMT+0100 (Central European Standard Time),63ac2fdffdaea7002ac404cb
63ac666bfdaea7002ac5463b,"Femme ","inferieur à 400 dtn par mois ","aucun ","propiétaire ","false ","aucune ",Wed Dec 28 2022 16:53:15 GMT+0100 (Central European Standard Time),Wed Dec 28 2022 16:54:04 GMT+0100 (Central European Standard Time),63ac64c1a7c600002a96055d
635998bffa1dd2002a56e29b,"Homme ","inferieur à 400 dtn par mois ","un lave vaisselle ","propiétaire ","false ","1 ",Wed Oct 26 2022 21:29:51 GMT+0100 (Central European Standard Time),Wed Oct 26 2022 21:30:15 GMT+0100 (Central European Standard Time),621648788f081f001ff702b4
63a0e703a7cb0d002a0d07b9,"Homme ","plus der 5000 dtn par mois ","un congélateur hors celui du réfrigérateur ","locataire ","false ","aucune ",Mon Dec 19 2022 23:34:43 GMT+0100 (Central European Standard Time),Mon Dec 19 2022 23:35:17 GMT+0100 (Central European Standard Time),6316330a0d10d9002acf4bf1
6354df6c6d6572002a57368a,"Femme ",-,"une machine a laver automatique ","propiétaire ","false ","aucune ",Sun Oct 23 2022 07:30:04 GMT+0100 (Central European Standard Time),Sun Oct 23 2022 07:30:20 GMT+0100 (Central European Standard Time),634411a81c2eae001f1103ce
63505366117758002ae160ec,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","2 ",Wed Oct 19 2022 20:43:34 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 20:44:18 GMT+0100 (Central European Standard Time),62e2b7acbc1cde0020c34460
6369200d715f58002ac7a558,"Homme ","entre 400 et 650 dtn par mois ","aucun ","propiétaire ","false ","1 ",Mon Nov 07 2022 16:11:09 GMT+0100 (Central European Standard Time),Mon Nov 07 2022 16:12:32 GMT+0100 (Central European Standard Time),62705305052dbe00209acce0
634dc3b396b5a9002a49871d,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Mon Oct 17 2022 22:05:55 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 22:06:17 GMT+0100 (Central European Standard Time),630796aaefe9be001f497f5b
634dce4096b5a9002a49eb7e,"Homme ","plus der 5000 dtn par mois ","un climatiseur ","propiétaire ","true ","2 ",Mon Oct 17 2022 22:50:56 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 22:51:22 GMT+0100 (Central European Standard Time),63024a04efe9be001f36414f
639ab511aa98fa002a32de63,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","aucune ",Thu Dec 15 2022 06:48:01 GMT+0100 (Central European Standard Time),Thu Dec 15 2022 06:49:01 GMT+0100 (Central European Standard Time),6399f91ea7cb0d002ae2072c
634db94f6d6572002a227ba7,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","aucune ",Mon Oct 17 2022 21:21:35 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 21:22:00 GMT+0100 (Central European Standard Time),631f094abaec25002b01d7b3
6372243f6e4427002b7179cc,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Mon Nov 14 2022 12:19:27 GMT+0100 (Central European Standard Time),Mon Nov 14 2022 12:19:38 GMT+0100 (Central European Standard Time),62e4f1e3bc1cde0020c53cc4
634d9845740817002a4ff8c7,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Mon Oct 17 2022 19:00:37 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 19:01:07 GMT+0100 (Central European Standard Time),6283eed425f12b002af9928d
63a34a51d3648d002aedb779,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Wed Dec 21 2022 19:02:57 GMT+0100 (Central European Standard Time),Wed Dec 21 2022 19:03:09 GMT+0100 (Central European Standard Time),63a34615fdaea7002aa43bd0
6350f2ee96b5a9002a60c976,"Homme ","entre 1800 et 3000 dtn par mois ","un lave vaisselle ","locataire ","true ","plus que 2 ",Thu Oct 20 2022 08:04:14 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 08:04:23 GMT+0100 (Central European Standard Time),620ab6e769ce2d0020d3a919
637a2e1266d3c80020b9c036,"Homme ","inferieur à 400 dtn par mois ","un sèche linge ","locataire ","true ","aucune ",Sun Nov 20 2022 14:39:30 GMT+0100 (Central European Standard Time),Sun Nov 20 2022 14:39:57 GMT+0100 (Central European Standard Time),6208b96b69ce2d0020cff7bb
634fda5f740817002a611221,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","1 ",Wed Oct 19 2022 12:07:11 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 12:07:30 GMT+0100 (Central European Standard Time),62322d3fcccc1c001f6f16c1
634d21b6d34855002afd5f00,"Femme ","entre 1000 et 1800 dtn par mois ","un congélateur hors celui du réfrigérateur ","locataire ","true ","1 ",Mon Oct 17 2022 10:34:46 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 10:35:57 GMT+0100 (Central European Standard Time),63430f421c2eae001f0b8514
634cf953051a14002a6c390f,"Femme ","entre 650 et 1200 dtn par mois ","aucun ","locataire ","true ","aucune ",Mon Oct 17 2022 07:42:27 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 07:43:11 GMT+0100 (Central European Standard Time),6208d0e5031a4600201edfd8
634dc65eeec4a5002a57f5e3,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","aucune ",Mon Oct 17 2022 22:17:18 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 22:17:42 GMT+0100 (Central European Standard Time),634dc509117758002acdf109
634d235d051a14002a6de88c,"Homme ","inferieur à 400 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","aucune ",Mon Oct 17 2022 10:41:49 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 10:42:30 GMT+0100 (Central European Standard Time),62ac4a425c28b4001f438561
634f43e8195edb002add15cb,"Homme ","inferieur à 400 dtn par mois ","un climatiseur ","propiétaire ","true ","aucune ",Wed Oct 19 2022 01:25:12 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 01:26:04 GMT+0100 (Central European Standard Time),634f3ea2195edb002add0635
635adff349e87d002af11e05,"Homme ","entre 400 et 650 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","1 ",Thu Oct 27 2022 20:45:55 GMT+0100 (Central European Standard Time),Thu Oct 27 2022 20:46:38 GMT+0100 (Central European Standard Time),623d9dcecccc1c001f73d02f
636657e2715f58002ab01e46,"Homme ","inferieur à 400 dtn par mois ","un chauffage central ","propiétaire ","false ","plus que 2 ",Sat Nov 05 2022 13:32:34 GMT+0100 (Central European Standard Time),Sat Nov 05 2022 13:39:43 GMT+0100 (Central European Standard Time),6364cc21966fa6002a930fa0
6350e0266d6572002a39800a,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Thu Oct 20 2022 06:44:06 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 06:44:30 GMT+0100 (Central European Standard Time),621f7699af93ec0020bd3dde
637cc6e26ece3e001f7e7f87,"Femme ","entre 650 et 1200 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Tue Nov 22 2022 13:56:02 GMT+0100 (Central European Standard Time),Tue Nov 22 2022 13:57:16 GMT+0100 (Central European Standard Time),62cb22e23317a6002962fc46
63611764715f58002a7eb5c8,"Femme ","entre 650 et 1200 dtn par mois ","un lave vaisselle ","propiétaire ","false ","aucune ",Tue Nov 01 2022 13:56:04 GMT+0100 (Central European Standard Time),Tue Nov 01 2022 13:56:50 GMT+0100 (Central European Standard Time),636115169ccf6f002b27b52d
63a33fde89ea73002ae41813,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","1 ",Wed Dec 21 2022 18:18:22 GMT+0100 (Central European Standard Time),Wed Dec 21 2022 18:18:43 GMT+0100 (Central European Standard Time),63a31f3989ea73002ae376cd
635d21d18cfee1002b1d2355,"Femme ","entre 1200 et 1800 dtn par mois ","aucun ","locataire ","false ","aucune ",Sat Oct 29 2022 13:51:29 GMT+0100 (Central European Standard Time),Sat Oct 29 2022 13:52:33 GMT+0100 (Central European Standard Time),622f4b91af93ec0020c8e407
63af370bfa2b8a002a9a967c,"Homme ","plus der 5000 dtn par mois ","aucun ","propiétaire ","false ","aucune ",Fri Dec 30 2022 20:07:55 GMT+0100 (Central European Standard Time),Fri Dec 30 2022 20:08:39 GMT+0100 (Central European Standard Time),63af28e950605a002aabcbf2
63523fd0117758002af03a22,"Homme ","entre 1800 et 3000 dtn par mois ","un lave vaisselle ","locataire ","true ","1 ",Fri Oct 21 2022 07:44:32 GMT+0100 (Central European Standard Time),Fri Oct 21 2022 07:45:44 GMT+0100 (Central European Standard Time),63514926740817002a6d021a
6384002e29651e001fe7afb5,"Homme ","entre 1800 et 3000 dtn par mois ","un congélateur hors celui du réfrigérateur ","propiétaire ","false ","1 ",Mon Nov 28 2022 01:26:22 GMT+0100 (Central European Standard Time),Mon Nov 28 2022 01:26:41 GMT+0100 (Central European Standard Time),6383e2f34bad50001face2d9
63509bf296b5a9002a5ed81c,"Homme ","entre 400 et 650 dtn par mois ","aucun ","propiétaire ","true ","aucune ",Thu Oct 20 2022 01:53:06 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 01:54:07 GMT+0100 (Central European Standard Time),629652fb41de33002a280035
63682898966fa6002ab5069c,"Femme ","entre 400 et 650 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","aucune ",Sun Nov 06 2022 22:35:20 GMT+0100 (Central European Standard Time),Sun Nov 06 2022 22:36:09 GMT+0100 (Central European Standard Time),62091450f75cbe001f0aaf54
634e925d740817002a571d61,"Femme ",-,"un lave vaisselle ","propiétaire ","true ","aucune ",Tue Oct 18 2022 12:47:41 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 12:48:51 GMT+0100 (Central European Standard Time),632ed4d1b2d78e002a7d7c1d
