,User id,Club,Genre,Age,Zone géographique,Occupation,Sport,Film,Interactions en ligne,Revenu,Permis de conduire,Motorisé,Que faites vous pendant votre temps libre?,Vous aimez les jeux videos?,vous préférez quelles marques,Que fais tu pendant ton temps libre?,En général quel type d'information as tu besoin?,"Plus globalement, as-tu des projets personnels ?",T’intéresses tu à la politique ?,Vois-tu un intérêt à voter ?,"D’après toi, qu’est-ce qui manque le plus aux jeunes de ton âge?",Vous disposez (plusieurs réponses possible),vous êtes ,combien de voitures disposez vous dans votre famille,j'habite?,Pour me déplacer je prends ,As-tu accès à internet facilement?
2849,620d1d556529b3002a1a3b43,tunis,homme,,jendouba,lycée,football,action,facebook,plus der 5000 dtn mois,false,false,tvjeux vidéos,oui,nike lacoste bos prada,internet,etudesformations,voyage,true,false,évènements culturels,machine a laver automatique,propiétaire,aucune,"chez, parent",,
2850,621134660cd88c0020dbb2fa,tunis,homme,,kairouan,lycée,handball,comédie,facebook,plus der 5000 dtn mois,true,false,activités sportives,oui,nike lacoste bos prada,activités sportives,métiers,voyage,false,true,évènements culturels,machine a laver automatique,locataire,1,"chez, parent",autre,false
2851,622b16d06d818c001e30dae1,tunis,femme,moins 18 an,kairouan,lycée,football,action,facebook tik tok,plus der 5000 dtn mois,,false,internet tvjeux vidéos,oui,nike lacoste bos prada,internet,etudesformations,voyage,false,true,transport,machine a laver automatique,locataire,aucune,"chez, parent",vélo,
2852,624c1414f17860001fa26bdb,"club, africain",femme,moins 18 an,tunis,,football,action,facebook,plus der 5000 dtn mois,true,true,activités sportives,oui,chanel saint laurent dior louis vuitton,activités associatives,etudesformations,voyage,true,true,évènements culturels,machine a laver automatique,propiétaire,2,,bus,true
2853,62acc4bab7925a001fc78d06,tunis,homme,entre 25 34 an,gabes,recherche dun emploi,football,action,facebook instagram tik tok snapshat,entre 650 1200 dtn mois,true,true,activités sportives,oui,nike lacoste bos prada,internet,offres demploi métiers,projet professionnel voyage,true,true,structure sportives,aucun,propiétaire,1,"chez, parent",voiture,
2854,628d57519d6323002b92416d,tunis,homme,entre 18 24 an,medenine,,football,action,tik tok,inferieur 400 dtn mois,,false,activités sportives,oui,chanel saint laurent dior louis vuitton,tvjeux vidéos,sport losirs,projet detudes,true,true,sécurité,aucun,propiétaire,aucune,,,true
2855,621baa470cd88c0020e04f3d,"c, sfaxien",homme,,sfax,lycée,,romantique,facebook instagram tik tok,entre 1000 1800 dtn mois,,true,internet,oui,nike lacoste bos prada,internet,sport losirs,projet professionnel,false,true,sécurité transport structure sportives,climatiseur,locataire,2,"chez, parent",moto,
2856,62d1504bbc1cde0020b31df0,tunis,,moins 18 an,tunis,lycée,,action,tik tok,plus der 5000 dtn mois,,true,,oui,chanel saint laurent dior louis vuitton,activités sportives,etudesformations,voyage,false,false,transport,machine a laver semi automatique,propiétaire,aucune,appartement,,
2857,629f8348c83e50002049a30f,,homme,,bizerte,lycée,football,action,facebook,entre 1800 3000 dtn mois,false,false,activités sportives,oui,nike lacoste bos prada,activités sportives,etudesformations,voyage,false,false,espaces jeunes,lave vaisselle,propiétaire,1,"chez, parent",,false
2858,620fbcf18f081f001ff3c7a0,"club, africain",homme,entre 18 24 an,sfax,lycée,football,horreur,facebook,entre 3000 5000 dtn mois,false,false,activités associatives,oui,chanel saint laurent dior louis vuitton,activités sportives,etudesformations,voyage,false,false,transport évènements culturels,machine a laver automatique,locataire,aucune,appartement,bus,false
2859,62bb147344a27b001f71001a,,,,sfax,,,action,facebook,inferieur 400 dtn mois,false,false,activités sportives,non,nike lacoste bos prada,tvjeux vidéos,etudesformations métiers,voyage,false,true,transport,lave vaisselle,locataire,2,,taxi,true
2860,6208e97669ce2d0020d0696c,"club, africain",homme,,tunis,,aucun,science fiction,facebook instagram,entre 1000 1800 dtn mois,false,true,tvjeux vidéos internet sortie entre amis,oui,nike lacoste bos prada,tvjeux vidéos activités sportives internet,offres demploi métiers vie pratique transport horaires d’ouverture différentes structure projets létranger voyage études emplois sport losirs,projet particulier,false,true,lieux où s’informer évènements culturels transport sécurité espaces jeunes,sèche linge,locataire,1,"chez, parent",metro,true
2861,62bca87141b04f001ed64152,tunis,,moins 18 an,tunis,lycée,handball,action,facebook,plus der 5000 dtn mois,false,false,activités associatives,oui,nike lacoste bos prada,activités sportives,etudesformations,voyage,false,false,transport,machine a laver automatique,locataire,2,,,false
2862,62b17a4841b04f001ecec978,tunis,,entre 18 24 an,sfax,lycée,football,horreur,facebook,plus der 5000 dtn mois,false,false,activités sportives,oui,chanel saint laurent dior louis vuitton,activités associatives,,projet detudes,true,false,transport,chauffage central,propiétaire,1,appartement,,true
